"InvoiceNo","CustomerID","InvoiceDate","Quantity","UnitPrice","Country"
"INV100039","C00103","2025-07-27 10:50:00","6","21.73","Italy"
"INV100040","C00056","2026-03-20 21:15:00","7","125.86","EIRE"
"INV100041","C00312","2025-07-18 16:54:00","3","48.19","Netherlands"
"INV100042","C00380","2025-07-01 23:47:00","3","99.64","United Kingdom"
"INV100043","C00245","2025-07-12 02:41:00","5","161.76","Spain"
"INV100044","C00380","2026-01-10 15:35:00","4","164.21","Spain"
"INV100045","C00454","2025-07-18 16:25:00","5","172.89","France"
"INV100046","C00217","2025-06-09 16:25:00","8","46.07","Netherlands"
"INV100047","C00263","2025-01-22 11:14:00","1","120.22","Portugal"
"INV100048","C00162","2025-11-15 01:15:00","7","110.12","EIRE"
"INV100049","C00262","2025-05-27 05:31:00","5","120.34","EIRE"
"INV100050","C00439","2025-02-03 05:00:00","5","108.61","Netherlands"
"INV100051","C00377","2026-03-25 01:17:00","6","65.47","Germany"
"INV100052","C00484","2025-03-14 02:47:00","8","193.18","Belgium"
"INV100053","C00181","2025-02-28 20:19:00","7","141.23","Belgium"
"INV100054","C00244","2025-01-14 21:07:00","6","155.36","France"
"INV100055","C00348","2025-05-26 04:39:00","4","5.68","Spain"
"INV100056","C00444","2025-12-08 13:05:00","5","172.89","Portugal"
"INV100057","C00023","2025-09-25 00:06:00","1","100.74","EIRE"
"INV100058","C00043","2025-12-22 22:29:00","4","128.78","Belgium"
"INV100059","C00043","2025-10-03 07:47:00","4","3.78","France"
"INV100060","C00162","2025-12-12 17:09:00","3","186.62","Spain"
"INV100061","C00227","2025-07-03 15:46:00","5","102.27","Italy"
"INV100062","C00174","2025-01-09 16:55:00","1","109.97","Germany"
"INV100063","C00282","2026-01-15 19:24:00","1","65.35","Germany"
"INV100064","C00443","2026-02-05 10:20:00","8","32.7","Belgium"
"INV100065","C00167","2025-09-03 00:22:00","9","33.04","Netherlands"
"INV100066","C00191","2026-02-24 14:18:00","1","111.91","EIRE"
"INV100067","C00411","2025-10-06 09:30:00","9","11.56","Belgium"
"INV100068","C00325","2025-07-09 21:33:00","6","80.57","EIRE"
"INV100069","C00156","2026-02-11 13:23:00","6","135.66","Spain"
"INV100070","C00409","2025-11-05 06:41:00","8","198.64","Belgium"
"INV100071","C00203","2025-04-08 14:34:00","1","104.24","Spain"
"INV100072","C00201","2025-07-26 02:41:00","4","16.04","Netherlands"
"INV100073","C00231","2026-02-21 09:37:00","3","113.82","Spain"
"INV100074","C00380","2025-07-27 09:28:00","1","86.71","Germany"
"INV100075","C00352","2025-01-27 04:33:00","8","88.06","Spain"
"INV100076","C00198","2025-11-19 05:44:00","6","95.23","United Kingdom"
"INV100077","C00398","2025-09-19 15:00:00","4","91.54","Germany"
"INV100078","C00349","2026-02-15 16:50:00","9","65.85","Italy"
"INV100079","C00206","2025-12-10 10:04:00","4","32.15","EIRE"
"INV100080","C00329","2025-08-31 01:27:00","7","91.57","EIRE"
"CINV100081","C00339","2025-11-16 07:39:00","7","5.97","Portugal"
"INV100082","C00031","2025-02-26 09:45:00","8","95.4","EIRE"
"INV100083","C00354","2025-11-24 13:14:00","2","143.14","Italy"
"INV100084","C00288","2025-08-22 05:18:00","2","96.68","EIRE"
"INV100085","C00116","2026-01-08 03:39:00","9","123.76","Germany"
"CINV100086","C00314","2025-01-18 14:40:00","2","127.5","Germany"
"INV100087","C00230","2025-09-21 22:20:00","4","110.05","United Kingdom"
"INV100088","C00272","2025-08-28 14:46:00","1","138.39","Germany"
"INV100089","C00356","2026-03-07 20:53:00","1","84","Netherlands"
"INV100090","C00132","2025-07-01 23:22:00","5","124.38","Netherlands"
"INV100091","C00209","2025-07-03 18:27:00","3","99.8","Germany"
"INV100092","C00146","2026-02-11 18:07:00","6","59.47","Germany"
"INV100093","C00381","2025-11-20 21:57:00","7","152.78","EIRE"
"INV100094","C00412","2025-11-06 18:40:00","9","67.85","United Kingdom"
"INV100095","C00447","2025-02-06 08:42:00","8","144.79","Netherlands"
"INV100096","C00012","2025-01-15 02:20:00","3","152.23","France"
"INV100097","C00292","2025-05-01 17:48:00","6","20.42","Netherlands"
"INV100098","C00396","2025-05-23 08:01:00","5","118.3","Netherlands"
"INV100099","C00138","2026-03-23 19:18:00","7","140.07","Italy"
"INV100100","C00163","2025-05-29 05:45:00","1","33.83","Italy"
"INV100101","C00067","2025-02-04 15:21:00","6","30.94","Spain"
"INV100102","C00498","2026-03-15 05:41:00","5","15.83","EIRE"
"INV100103","C00053","2026-03-12 18:33:00","8","55.51","France"
"INV100104","C00322","2025-05-06 12:08:00","8","27.97","EIRE"
"INV100105","C00179","2026-03-18 07:18:00","7","68.23","France"
"CINV100106","C00190","2025-01-15 10:44:00","5","1.59","United Kingdom"
"INV100107","C00317","2026-03-20 14:22:00","8","85.95","Spain"
"INV100108","C00382","2026-03-22 22:04:00","2","23.46","Netherlands"
"INV100109","C00310","2025-10-29 18:37:00","4","134.48","Italy"
"INV100110","C00475","2025-08-12 17:49:00","9","125.38","United Kingdom"
"INV100111","C00082","2026-01-19 18:27:00","9","6.02","Portugal"
"INV100112","C00320","2025-07-21 21:18:00","2","45.99","EIRE"
"INV100113","C00104","2025-01-09 01:14:00","3","135.63","EIRE"
"INV100114","C00012","2025-09-12 06:24:00","7","177.55","Italy"
"INV100115","C00042","2025-05-01 14:56:00","1","62.08","EIRE"
"INV100116","C00362","2025-01-03 07:27:00","3","141.84","United Kingdom"
"CINV100117","C00462","2025-07-27 08:53:00","2","165.46","Spain"
"INV100118","C00478","2025-01-11 14:07:00","3","152.47","Portugal"
"INV100119","C00237","2025-10-11 14:52:00","7","158.2","Spain"
"INV100120","C00420","2025-01-07 19:03:00","4","120.54","Belgium"
"INV100121","C00415","2025-12-23 12:41:00","6","51.34","Italy"
"INV100122","C00283","2025-02-20 07:50:00","4","184.68","Italy"
"INV100123","C00040","2026-02-11 22:20:00","1","145.43","France"
"INV100124","C00061","2025-05-30 21:06:00","8","4.74","Portugal"
"INV100125","C00229","2025-03-12 11:33:00","8","128.53","France"
"INV100126","C00227","2025-07-16 00:34:00","3","114.74","Netherlands"
"INV100127","C00292","2026-01-03 18:28:00","2","165.73","Italy"
"INV100128","C00376","2025-06-14 00:35:00","6","148.69","France"
"INV100129","C00308","2025-02-01 20:07:00","3","172.16","France"
"INV100130","C00381","2025-05-31 17:21:00","1","97.93","Netherlands"
"INV100131","C00396","2025-10-25 10:44:00","2","25.61","France"
"INV100132","C00225","2025-04-14 15:18:00","5","86.35","United Kingdom"
"INV100133","C00448","2025-06-24 14:30:00","6","126.05","Italy"
"INV100134","C00318","2025-05-24 15:01:00","2","133.34","Belgium"
"INV100135","C00214","2025-10-31 21:12:00","9","172.72","Italy"
"INV100136","C00424","2025-09-15 03:14:00","2","111.05","Belgium"
"INV100137","C00312","2026-02-26 14:27:00","2","59.46","Belgium"
"INV100138","C00315","2025-07-19 20:12:00","8","186.78","Portugal"
"INV100139","C00157","2025-03-09 04:54:00","6","71.69","Italy"
"INV100140","C00128","2025-04-20 08:22:00","2","107.15","Netherlands"
"INV100141","C00406","2025-03-09 12:15:00","9","157.81","Italy"
"INV100142","C00455","2025-12-30 03:43:00","4","25.07","Italy"
"INV100143","C00281","2025-05-10 05:40:00","4","102.2","United Kingdom"
"INV100144","C00303","2025-03-14 12:46:00","9","33.26","Germany"
"INV100145","C00401","2025-08-10 23:34:00","9","134.98","Italy"
"INV100146","C00072","2025-09-18 21:09:00","6","46.17","Spain"
"INV100147","C00307","2025-06-10 15:48:00","1","44.61","Belgium"
"INV100148","C00499","2025-08-28 12:06:00","2","46.12","Germany"
"INV100149","C00110","2025-12-12 22:10:00","2","116.3","Italy"
"INV100150","C00319","2026-02-09 02:49:00","7","195.38","Italy"
"INV100151","C00121","2025-09-11 17:33:00","4","123.34","Portugal"
"INV100152","C00083","2025-12-08 13:34:00","6","57.11","Belgium"
"INV100153","C00269","2025-05-10 15:29:00","7","181.17","Belgium"
"INV100154","C00353","2026-03-08 10:41:00","8","140.04","Belgium"
"INV100155","C00293","2025-07-16 08:42:00","4","107.83","Italy"
"CINV100156","C00238","2025-11-09 14:36:00","2","55.31","EIRE"
"INV100157","C00355","2025-12-11 07:46:00","3","24.59","Portugal"
"INV100158","C00307","2026-03-23 11:55:00","6","186.08","Spain"
"INV100159","C00420","2025-10-07 19:57:00","1","166.95","EIRE"
"INV100160","C00424","2025-02-07 17:33:00","1","109.77","United Kingdom"
"INV100161","C00423","2025-04-21 05:00:00","1","17.49","Netherlands"
"INV100162","C00131","2025-12-12 10:43:00","9","79.78","France"
"INV100163","C00204","2025-11-14 09:45:00","6","30.05","Spain"
"INV100164","C00019","2025-07-23 17:12:00","9","72.51","Germany"
"INV100165","C00176","2026-03-30 02:11:00","2","101.74","Italy"
"INV100166","C00231","2025-02-17 02:38:00","4","81.1","Germany"
"INV100167","C00064","2025-06-26 17:14:00","1","190.86","Germany"
"INV100168","C00315","2025-02-25 05:19:00","2","103.86","Italy"
"INV100169","C00124","2025-08-26 18:20:00","5","11.98","Netherlands"
"INV100170","C00301","2025-05-28 01:10:00","6","132.98","France"
"INV100171","C00487","2025-10-29 20:37:00","1","71.55","Netherlands"
"INV100172","C00242","2026-03-26 21:13:00","7","144.8","Spain"
"INV100173","C00221","2025-11-26 08:15:00","3","47.06","EIRE"
"INV100174","C00104","2025-04-15 22:11:00","1","176.1","EIRE"
"INV100175","C00369","2025-10-10 14:01:00","4","93.92","EIRE"
"INV100176","C00047","2025-06-20 20:10:00","2","164.25","Portugal"
"INV100177","C00179","2025-10-01 02:41:00","3","55.91","Germany"
"INV100178","C00283","2025-03-01 15:59:00","9","10.33","France"
"INV100179","C00433","2025-09-13 22:08:00","9","87.09","Netherlands"
"INV100180","C00496","2025-10-19 04:32:00","6","198.32","EIRE"
"INV100181","C00117","2025-01-09 06:49:00","3","43.94","Portugal"
"INV100182","C00217","2025-08-15 23:06:00","9","33.11","Spain"
"INV100183","C00134","2025-01-20 02:27:00","2","63.81","Spain"
"INV100184","C00313","2025-12-18 11:39:00","3","49.66","Spain"
"INV100185","C00298","2026-02-12 13:04:00","5","112.57","United Kingdom"
"INV100186","C00074","2025-01-28 14:05:00","1","134.43","Italy"
"INV100187","C00314","2025-07-04 22:52:00","3","156.25","Italy"
"INV100188","C00199","2025-04-18 05:17:00","6","133.83","United Kingdom"
"INV100189","C00185","2025-10-27 12:25:00","9","83.85","Spain"
"INV100190","C00449","2025-02-12 02:33:00","4","23.7","Belgium"
"INV100191","C00038","2026-02-11 17:05:00","9","126.57","Belgium"
"INV100192","C00283","2025-09-20 06:42:00","2","132.72","France"
"INV100193","C00386","2025-09-21 13:51:00","2","159.1","France"
"INV100194","C00384","2025-09-22 07:42:00","6","83.96","Germany"
"INV100195","C00273","2025-09-18 20:57:00","7","161.21","EIRE"
"INV100196","C00271","2025-07-03 15:43:00","8","80.44","Germany"
"INV100197","C00483","2026-01-09 23:48:00","3","69.23","Germany"
"INV100198","C00392","2025-05-20 17:16:00","2","6.26","Spain"
"INV100199","C00246","2025-09-06 20:08:00","7","38.21","Spain"
"INV100200","C00350","2025-12-18 23:54:00","1","117.47","France"
"INV100201","C00379","2025-09-07 12:08:00","3","24.43","Spain"
"INV100202","C00453","2025-05-01 11:20:00","4","105.07","United Kingdom"
"INV100203","C00333","2025-01-23 22:50:00","6","47.83","EIRE"
"INV100204","C00005","2025-01-12 10:24:00","7","99.16","United Kingdom"
"INV100205","C00401","2025-11-24 01:41:00","9","176.21","United Kingdom"
"INV100206","C00491","2026-01-05 03:49:00","9","119.33","Belgium"
"CINV100207","C00072","2026-02-28 02:20:00","7","45.41","United Kingdom"
"INV100208","C00300","2025-09-18 22:25:00","1","19.76","EIRE"
"INV100209","C00152","2025-02-10 09:34:00","8","103.45","Italy"
"INV100210","C00113","2026-01-26 23:27:00","4","81.43","EIRE"
"INV100211","C00008","2026-01-27 07:22:00","8","6.79","EIRE"
"INV100212","C00494","2026-03-17 16:14:00","8","104.87","Belgium"
"INV100213","C00221","2025-05-24 21:51:00","6","89.61","United Kingdom"
"INV100214","C00251","2025-11-26 07:42:00","3","115.76","France"
"INV100215","C00281","2026-03-06 22:27:00","5","174.25","Germany"
"INV100216","C00339","2025-03-23 02:44:00","1","52.66","EIRE"
"INV100217","C00400","2025-04-19 15:25:00","8","107.48","United Kingdom"
"INV100218","C00401","2025-12-16 10:09:00","7","44.27","Spain"
"INV100219","C00433","2025-09-03 22:52:00","3","26.61","Portugal"
"INV100220","C00146","2026-02-05 21:51:00","3","16.93","Germany"
"INV100221","C00187","2025-11-25 22:04:00","6","79.53","Spain"
"INV100222","C00281","2025-08-18 17:12:00","2","26.97","Spain"
"INV100223","C00411","2025-09-05 23:07:00","5","199.32","Belgium"
"INV100224","C00485","2025-02-27 01:57:00","1","19.67","Portugal"
"INV100225","C00346","2025-12-31 22:26:00","2","87.54","Italy"
"INV100226","C00026","2025-04-01 05:50:00","4","178.88","EIRE"
"INV100227","C00336","2025-12-31 04:31:00","2","98.36","Spain"
"INV100228","C00296","2026-03-10 11:15:00","2","137.14","Germany"
"INV100229","C00394","2025-07-30 09:48:00","9","117.44","Spain"
"INV100230","C00064","2025-10-15 01:26:00","3","77.13","Belgium"
"INV100231","C00250","2026-03-06 01:06:00","7","51.7","Spain"
"INV100232","C00152","2025-11-10 15:28:00","4","156.62","Spain"
"INV100233","C00051","2025-02-26 19:33:00","4","143.78","France"
"INV100234","C00266","2025-01-29 01:49:00","3","139.74","Germany"
"INV100235","C00199","2025-02-13 06:19:00","4","8.93","Italy"
"INV100236","C00458","2025-04-12 17:16:00","1","190.86","Spain"
"INV100237","C00445","2025-10-14 10:20:00","7","49.28","Portugal"
"INV100238","C00359","2025-11-23 18:13:00","9","171.18","Portugal"
"INV100239","C00056","2026-01-15 20:29:00","8","76.78","Belgium"
"INV100240","C00478","2026-03-15 05:00:00","3","51.27","France"
"INV100241","C00139","2025-02-17 08:03:00","3","169.92","Netherlands"
"INV100242","C00471","2025-06-07 15:32:00","7","44.19","Netherlands"
"INV100243","C00115","2025-05-07 08:13:00","7","119.09","Germany"
"INV100244","C00376","2025-02-01 00:10:00","7","8.94","France"
"INV100245","C00448","2025-10-04 01:27:00","7","61.18","EIRE"
"INV100246","C00029","2025-09-01 19:41:00","5","81.43","Germany"
"INV100247","C00207","2025-10-09 17:39:00","7","92.82","Germany"
"INV100248","C00471","2025-10-27 08:19:00","5","33.28","Netherlands"
"INV100249","C00404","2025-11-27 22:45:00","5","69.01","Portugal"
"INV100250","C00029","2025-07-08 13:45:00","5","61.99","United Kingdom"
"CINV100251","C00233","2025-02-16 02:41:00","7","192.52","United Kingdom"
"CINV100252","C00221","2026-03-14 13:22:00","6","93.35","Portugal"
"INV100253","C00218","2025-01-09 12:08:00","2","25.05","Portugal"
"INV100254","C00123","2025-10-10 03:56:00","3","112.26","Italy"
"INV100255","C00073","2025-11-18 05:23:00","6","124.32","Italy"
"INV100256","C00200","2025-04-14 17:53:00","5","171.66","EIRE"
"INV100257","C00457","2025-04-14 09:08:00","5","74.52","Belgium"
"INV100258","C00128","2025-03-27 22:11:00","8","198.05","Germany"
"INV100259","C00181","2025-12-02 00:48:00","1","178.69","United Kingdom"
"INV100260","C00276","2025-10-17 23:12:00","1","126.32","Netherlands"
"INV100261","C00193","2025-05-02 00:21:00","9","123.69","Italy"
"INV100262","C00014","2025-09-19 09:14:00","8","137.99","Netherlands"
"INV100263","C00353","2025-08-12 11:04:00","3","116.72","Portugal"
"INV100264","C00313","2025-06-23 08:10:00","1","68.98","Germany"
"INV100265","C00467","2026-01-25 13:44:00","9","13.46","France"
"INV100266","C00003","2026-01-31 15:38:00","8","90.22","Belgium"
"INV100267","C00083","2025-08-21 20:11:00","1","20","Portugal"
"INV100268","C00386","2025-04-21 19:47:00","5","136.01","EIRE"
"INV100269","C00377","2025-05-23 17:03:00","3","59.53","Italy"
"INV100270","C00091","2025-12-27 14:57:00","4","52.35","Netherlands"
"INV100271","C00312","2025-05-13 03:40:00","3","39.94","Spain"
"INV100272","C00483","2026-02-13 19:06:00","2","28.26","Spain"
"INV100273","C00471","2026-03-28 18:19:00","5","123.5","Netherlands"
"INV100274","C00219","2025-04-05 05:33:00","9","69.7","Portugal"
"INV100275","C00044","2025-10-04 07:18:00","1","57.26","France"
"INV100276","C00492","2025-03-04 01:29:00","8","142.95","United Kingdom"
"CINV100277","C00197","2026-03-29 18:55:00","1","94.3","Netherlands"
"INV100278","C00448","2026-02-25 15:44:00","8","110.51","Italy"
"INV100279","C00398","2026-03-19 10:12:00","7","149.83","Netherlands"
"INV100280","C00145","2025-08-03 13:25:00","8","3.12","France"
"INV100281","C00152","2025-11-07 11:21:00","6","6.42","Netherlands"
"INV100282","C00022","2026-01-11 00:21:00","7","141.78","Belgium"
"INV100283","C00419","2025-05-25 17:32:00","2","128.8","Italy"
"INV100284","C00415","2025-05-28 03:01:00","2","160.68","United Kingdom"
"INV100285","C00039","2026-03-15 13:39:00","6","15.83","Germany"
"INV100286","C00268","2025-04-06 19:16:00","6","156.93","EIRE"
"INV100287","C00255","2025-05-02 08:42:00","9","137.58","Netherlands"
"INV100288","C00469","2025-06-22 16:38:00","5","161.22","Netherlands"
"INV100289","C00355","2026-01-29 07:08:00","8","86.57","Italy"
"INV100290","C00215","2026-03-14 12:21:00","3","188.1","Italy"
"INV100291","C00083","2025-11-06 05:41:00","8","52.67","Italy"
"INV100292","C00109","2026-02-05 15:10:00","2","55.14","Netherlands"
"INV100293","C00388","2025-01-01 22:07:00","3","67.26","Belgium"
"INV100294","C00161","2025-05-17 09:03:00","6","181","EIRE"
"INV100295","C00279","2025-08-14 10:41:00","3","63.64","United Kingdom"
"INV100296","C00103","2025-08-04 21:49:00","7","19.55","Portugal"
"INV100297","C00104","2025-03-30 03:06:00","5","77.96","EIRE"
"INV100298","C00461","2025-05-13 07:03:00","4","4.48","Belgium"
"INV100299","C00211","2025-05-30 08:31:00","8","122.88","EIRE"
"INV100300","C00312","2025-07-09 16:33:00","1","98.62","Spain"
"INV100301","C00174","2025-03-07 10:19:00","2","100.71","France"
"INV100302","C00378","2025-07-21 05:00:00","1","83.26","Germany"
"INV100303","C00335","2026-01-29 22:21:00","9","126.68","Germany"
"INV100304","C00182","2026-02-19 04:57:00","7","118.57","Belgium"
"INV100305","C00113","2025-11-10 06:12:00","4","157.94","France"
"INV100306","C00482","2025-07-11 16:23:00","4","41.52","Germany"
"INV100307","C00347","2026-01-23 10:02:00","8","17.39","EIRE"
"INV100308","C00417","2025-09-25 12:43:00","4","141.11","EIRE"
"INV100309","C00120","2026-01-06 14:13:00","6","126.74","Italy"
"INV100310","C00366","2025-06-06 09:01:00","1","140.86","United Kingdom"
"INV100311","C00123","2025-03-31 18:20:00","3","8.14","Portugal"
"INV100312","C00159","2026-02-24 18:02:00","4","166.37","France"
"INV100313","C00307","2026-01-14 04:26:00","1","130.72","France"
"INV100314","C00068","2025-10-11 10:34:00","7","128.82","Portugal"
"INV100315","C00107","2025-12-29 01:46:00","3","199.56","Portugal"
"INV100316","C00001","2025-01-26 17:23:00","3","89.12","United Kingdom"
"INV100317","C00472","2026-02-14 08:16:00","1","84.64","United Kingdom"
"INV100318","C00480","2025-04-03 22:03:00","8","21.83","Germany"
"INV100319","C00355","2025-08-08 00:11:00","5","116.84","Spain"
"INV100320","C00414","2025-11-28 22:53:00","8","192.8","Netherlands"
"INV100321","C00122","2025-03-04 13:34:00","7","23.27","Germany"
"INV100322","C00455","2025-05-15 15:50:00","5","109.79","France"
"INV100323","C00392","2026-01-02 12:47:00","6","99.09","Portugal"
"INV100324","C00071","2025-08-10 14:26:00","7","116.39","EIRE"
"INV100325","C00218","2025-06-02 03:42:00","6","50.96","Belgium"
"INV100326","C00045","2026-03-06 03:53:00","2","112.5","France"
"INV100327","C00442","2026-01-27 14:46:00","5","105.36","Belgium"
"INV100328","C00397","2025-02-16 05:26:00","6","139.3","Spain"
"INV100329","C00431","2025-09-26 12:13:00","9","179.87","Spain"
"INV100330","C00063","2025-09-03 17:43:00","2","85.39","EIRE"
"INV100331","C00013","2025-10-28 09:32:00","3","69.88","United Kingdom"
"INV100332","C00340","2025-11-14 15:48:00","4","155.76","Belgium"
"INV100333","C00140","2025-11-23 12:17:00","9","190.42","Italy"
"INV100334","C00160","2025-09-12 17:36:00","2","2.61","Portugal"
"INV100335","C00392","2025-05-02 00:15:00","4","122.05","EIRE"
"INV100336","C00323","2026-03-17 04:44:00","1","38.69","Spain"
"INV100337","C00018","2025-05-09 22:33:00","1","6.49","France"
"INV100338","C00019","2025-05-23 14:24:00","5","56.44","Belgium"
"INV100339","C00469","2025-01-22 08:58:00","7","176.28","Spain"
"INV100340","C00440","2026-02-28 06:34:00","5","174.06","Italy"
"INV100341","C00300","2025-05-17 10:36:00","7","39.98","Netherlands"
"INV100342","C00021","2026-03-12 05:47:00","9","127.84","France"
"INV100343","C00165","2026-03-14 02:21:00","1","15.83","Germany"
"INV100344","C00399","2026-02-18 18:54:00","7","10.87","Spain"
"INV100345","C00322","2025-11-21 00:25:00","3","195.33","Italy"
"INV100346","C00462","2025-12-05 07:51:00","7","175.47","Portugal"
"INV100347","C00058","2025-02-07 11:14:00","1","72.22","United Kingdom"
"INV100348","C00214","2025-02-20 11:28:00","6","25.25","Italy"
"INV100349","C00002","2025-06-06 18:56:00","2","29.76","Germany"
"INV100350","C00114","2025-03-13 02:14:00","7","80.27","EIRE"
"INV100351","C00223","2025-03-30 21:04:00","3","110.81","Netherlands"
"INV100352","C00290","2025-04-12 20:25:00","9","150.3","EIRE"
"INV100353","C00459","2025-06-14 09:26:00","4","25.26","EIRE"
"INV100354","C00286","2025-10-15 08:50:00","3","151.58","Italy"
"INV100355","C00201","2026-03-31 01:00:00","9","145.59","Belgium"
"INV100356","C00166","2025-11-04 01:30:00","5","142.05","Germany"
"INV100357","C00217","2025-10-13 09:39:00","3","43.81","Belgium"
"INV100358","C00124","2025-06-21 09:13:00","9","143.55","Spain"
"INV100359","C00017","2025-11-13 22:36:00","8","36.2","Italy"
"INV100360","C00273","2026-02-06 17:06:00","9","109.29","Netherlands"
"INV100361","C00253","2025-08-18 21:19:00","5","95.27","Germany"
"INV100362","C00192","2026-02-28 21:36:00","3","18.83","United Kingdom"
"INV100363","C00346","2025-01-09 06:38:00","1","80.35","Belgium"
"INV100364","C00224","2025-09-11 12:13:00","1","30.13","Spain"
"INV100365","C00150","2025-02-13 14:37:00","6","94.76","United Kingdom"
"INV100366","C00458","2025-01-24 09:56:00","8","62.43","Spain"
"INV100367","C00073","2025-06-01 09:43:00","4","151.74","Germany"
"INV100368","C00242","2025-07-28 15:39:00","2","133.28","Netherlands"
"INV100369","C00034","2025-06-10 16:56:00","8","155.56","France"
"INV100370","C00210","2025-06-10 07:14:00","4","53.51","Germany"
"INV100371","C00020","2025-03-17 11:22:00","3","76.45","United Kingdom"
"INV100372","C00043","2025-02-16 07:33:00","3","53.74","Belgium"
"INV100373","C00274","2025-04-27 13:38:00","7","13.44","EIRE"
"INV100374","C00429","2025-08-31 05:29:00","5","43.83","Belgium"
"INV100375","C00309","2025-02-21 01:21:00","5","149.55","France"
"CINV100376","C00077","2026-01-17 09:37:00","1","1.79","Belgium"
"INV100377","C00371","2025-09-29 02:21:00","2","20.06","EIRE"
"INV100378","C00416","2025-12-12 12:50:00","4","81.76","Italy"
"INV100379","C00231","2025-07-01 00:19:00","6","12.4","EIRE"
"INV100380","C00072","2026-01-06 14:06:00","5","51.53","EIRE"
"INV100381","C00392","2025-08-15 03:15:00","7","8","Portugal"
"INV100382","C00028","2025-06-16 01:12:00","5","93.14","Italy"
"INV100383","C00293","2025-01-03 12:21:00","4","118.78","Netherlands"
"INV100384","C00250","2026-01-09 22:08:00","9","131.93","EIRE"
"INV100385","C00431","2025-04-29 00:23:00","7","142.32","Italy"
"INV100386","C00253","2026-03-16 09:52:00","1","98.16","Belgium"
"INV100387","C00048","2026-03-18 19:47:00","9","161.1","Italy"
"INV100388","C00258","2026-01-17 08:08:00","2","158.08","Belgium"
"INV100389","C00055","2026-01-28 18:18:00","5","90.73","EIRE"
"INV100390","C00238","2025-07-13 00:18:00","8","1.89","Portugal"
"INV100391","C00159","2025-05-31 08:56:00","5","81.7","Germany"
"INV100392","C00238","2025-03-01 22:01:00","6","148.31","EIRE"
"INV100393","C00154","2025-04-02 04:42:00","5","58.29","Germany"
"INV100394","C00224","2025-03-15 18:28:00","6","56.75","Netherlands"
"INV100395","C00340","2025-05-16 03:26:00","2","168.18","Italy"
"INV100396","C00319","2025-08-10 19:31:00","7","114.14","Netherlands"
"INV100397","C00034","2025-11-15 01:59:00","8","78.32","Germany"
"INV100398","C00491","2025-01-07 20:32:00","2","42.08","France"
"INV100399","C00120","2026-03-23 04:48:00","4","54.14","Portugal"
"CINV100400","C00329","2025-08-16 07:06:00","8","5.47","Italy"
"INV100401","C00295","2025-09-03 02:04:00","7","187.49","Spain"
