temperatura,presion,velocidad_linea,vibracion,humedad,maquina,turno,material,defectuoso
175.0,55.07,106.97,2.75,42.68,M1,Matutino,A,0
196.32,57.85,115.84,2.37,33.08,M2,Vespertino,B,0
179.33,45.96,113.91,2.31,35.11,M3,Matutino,B,0
197.13,46.84,82.85,1.86,29.43,M3,Matutino,A,0
194.66,52.76,93.27,2.82,34.23,M2,Vespertino,A,0
197.79,51.26,87.97,2.12,55.07,M3,Matutino,B,0
190.22,55.59,115.78,1.78,38.83,M1,Matutino,B,0
216.84,60.4,120.45,3.13,57.11,M2,Nocturno,C,1
198.96,56.26,96.58,3.15,39.95,M3,Vespertino,A,0
193.07,44.66,95.95,3.29,39.78,M2,Matutino,B,0
197.71,52.12,115.29,2.54,46.15,M3,Vespertino,C,0
195.78,45.19,110.62,3.92,44.63,M2,Nocturno,B,1
197.93,52.32,83.89,2.24,41.38,M2,Nocturno,A,0
187.88,45.85,76.12,1.94,40.6,M1,Vespertino,A,0
196.64,48.46,97.07,3.19,36.19,M1,Matutino,C,0
201.14,51.66,89.27,1.52,52.75,M2,Matutino,B,0
213.02,54.21,93.75,3.7,49.01,M3,Nocturno,C,1
195.49,48.8,93.93,1.7,37.77,M2,Nocturno,B,0
199.84,46.45,99.06,2.22,36.1,M1,Vespertino,C,0
189.93,43.21,97.58,2.75,37.64,M1,Nocturno,A,0
176.85,55.24,129.09,2.16,43.56,M3,Nocturno,C,0
203.27,58.4,112.7,3.54,53.14,M1,Matutino,C,1
180.91,56.4,105.91,1.65,52.38,M1,Vespertino,B,0
183.9,45.39,110.41,3.07,37.31,M1,Matutino,A,0
195.95,59.93,107.95,2.9,46.63,M2,Vespertino,B,1
199.46,48.53,95.97,2.28,45.73,M1,Nocturno,B,0
209.64,53.66,132.08,2.76,50.51,M3,Nocturno,A,1
203.07,47.96,102.83,2.78,44.16,M1,Vespertino,B,0
192.59,49.57,114.09,1.19,28.0,M2,Nocturno,B,0
194.99,56.15,107.8,1.54,39.84,M3,Vespertino,A,0
199.75,53.48,87.14,1.53,37.42,M3,Vespertino,B,0
206.02,61.15,125.31,3.88,51.9,M3,Vespertino,A,1
194.58,45.88,81.36,1.85,41.72,M1,Vespertino,A,0
193.76,46.47,117.89,2.64,51.98,M2,Nocturno,A,0
193.3,46.23,105.77,2.76,38.38,M2,Matutino,A,0
205.34,67.41,115.69,5.82,51.23,M2,Matutino,C,1
200.8,54.33,124.42,4.41,51.18,M2,Vespertino,B,1
192.67,43.02,119.58,2.82,44.59,M3,Matutino,B,0
188.37,58.09,99.4,2.65,31.91,M3,Matutino,B,0
188.26,50.19,83.74,2.05,35.72,M2,Matutino,A,0
199.02,50.52,128.81,2.54,36.59,M2,Vespertino,A,0
199.2,48.24,87.53,2.39,52.48,M1,Matutino,C,0
201.09,53.01,129.18,1.7,39.69,M3,Matutino,A,0
177.85,47.18,94.24,2.16,35.85,M1,Vespertino,B,0
204.47,42.41,98.51,2.32,44.37,M2,Nocturno,B,0
201.62,47.85,97.58,2.78,42.69,M1,Nocturno,A,0
212.34,58.11,128.06,4.95,41.99,M1,Nocturno,A,1
208.42,50.52,112.29,2.31,35.29,M2,Matutino,B,0
189.03,57.93,122.61,1.55,46.68,M1,Vespertino,C,0
213.43,51.46,116.38,3.01,40.65,M2,Vespertino,A,1
182.38,44.15,97.98,2.21,38.0,M2,Vespertino,A,0
202.47,57.93,91.99,2.36,33.85,M2,Nocturno,A,0
192.57,47.45,108.04,2.08,47.12,M3,Nocturno,B,0
192.29,52.58,112.79,3.58,48.03,M2,Matutino,B,1
188.26,48.21,104.62,2.98,40.89,M2,Matutino,B,0
188.06,57.51,86.99,1.4,49.02,M3,Matutino,A,0
196.7,55.41,104.68,3.69,37.02,M2,Matutino,A,0
195.33,52.03,116.72,2.93,53.37,M2,Nocturno,C,1
177.96,53.11,105.36,1.56,33.87,M2,Vespertino,A,0
209.09,42.67,110.56,2.08,47.42,M3,Nocturno,A,0
199.72,49.29,114.97,2.93,43.86,M1,Matutino,A,0
185.94,49.08,86.67,3.36,44.68,M3,Matutino,B,0
200.31,54.44,89.53,1.52,34.03,M1,Nocturno,C,0
199.35,50.45,99.58,2.38,32.65,M1,Vespertino,B,0
203.83,57.86,110.92,2.58,40.17,M1,Matutino,A,0
187.8,56.06,72.0,2.89,43.94,M1,Vespertino,A,0
187.45,51.3,101.73,3.12,44.22,M1,Nocturno,A,0
193.66,52.01,98.85,2.52,37.82,M1,Matutino,B,0
201.14,55.91,93.29,2.4,43.29,M2,Matutino,A,0
191.9,56.76,102.58,2.48,43.62,M3,Nocturno,B,0
202.2,52.05,79.42,1.47,42.34,M2,Matutino,B,0
185.04,47.05,85.08,1.46,42.5,M2,Matutino,A,0
193.06,51.17,113.09,2.31,41.85,M1,Nocturno,B,0
215.35,59.46,133.28,3.78,44.75,M1,Vespertino,C,1
190.55,44.36,72.34,2.47,33.11,M1,Vespertino,C,0
188.9,51.23,124.08,2.07,35.69,M2,Matutino,A,0
196.62,53.37,91.09,2.43,34.27,M2,Vespertino,B,0
204.51,52.89,90.88,2.57,42.74,M2,Nocturno,C,0
188.55,47.27,91.86,3.37,38.05,M1,Matutino,B,0
191.29,47.87,94.79,1.83,39.76,M1,Vespertino,C,0
195.49,56.43,122.8,4.4,50.59,M3,Nocturno,C,1
201.84,49.56,127.63,4.48,43.59,M1,Nocturno,A,1
192.26,51.5,91.71,2.11,41.71,M2,Matutino,A,0
206.29,59.33,115.65,4.14,54.23,M3,Nocturno,B,1
225.2,59.57,137.84,1.98,46.63,M3,Nocturno,C,1
204.21,48.56,97.12,2.62,37.54,M1,Vespertino,C,0
194.5,53.59,107.11,2.5,54.56,M2,Vespertino,A,0
179.05,54.76,102.18,1.94,40.24,M2,Matutino,B,0
197.65,54.99,89.75,3.13,43.67,M2,Matutino,B,0
199.3,52.38,112.66,2.59,38.14,M1,Nocturno,B,0
194.37,47.13,79.27,3.03,33.56,M1,Vespertino,B,0
216.2,54.7,112.17,4.64,56.35,M1,Vespertino,B,1
214.41,58.66,119.12,3.18,52.13,M3,Nocturno,C,1
212.46,63.65,118.55,3.98,50.32,M2,Nocturno,C,1
198.95,46.47,115.05,1.25,49.3,M1,Vespertino,B,0
201.0,58.68,114.28,3.6,48.77,M3,Nocturno,B,1
203.81,67.33,114.07,2.92,43.97,M3,Vespertino,B,1
207.18,58.34,122.15,5.5,55.07,M3,Nocturno,A,1
194.6,43.47,116.95,3.29,42.93,M3,Nocturno,B,0
220.12,68.79,123.75,4.11,51.47,M2,Matutino,B,1
197.71,44.22,102.53,2.34,36.56,M1,Vespertino,B,0
191.23,59.28,114.42,1.93,38.72,M1,Matutino,C,0
186.06,55.24,112.08,1.32,35.41,M2,Matutino,A,0
188.44,47.42,90.28,2.24,38.65,M1,Matutino,A,0
189.9,61.03,86.3,2.67,33.1,M1,Nocturno,A,0
203.96,55.95,110.1,3.63,48.92,M2,Vespertino,A,1
195.52,47.6,93.05,2.82,32.65,M1,Matutino,A,0
207.98,59.49,105.08,4.69,51.46,M3,Nocturno,A,1
194.08,52.83,142.0,2.95,48.47,M2,Vespertino,A,1
198.46,52.99,102.26,2.45,38.42,M1,Nocturno,C,0
186.57,57.55,104.98,2.19,30.59,M1,Matutino,C,0
187.72,59.07,120.51,1.29,46.66,M1,Matutino,B,0
198.69,52.29,109.3,2.2,46.78,M1,Vespertino,B,0
191.36,59.32,107.87,2.23,44.6,M2,Nocturno,B,0
178.04,52.81,104.59,3.15,44.52,M1,Matutino,C,0
198.59,51.8,124.03,3.23,47.82,M1,Nocturno,B,1
178.83,44.62,112.03,2.54,40.19,M1,Vespertino,A,0
188.45,53.08,83.13,2.25,33.66,M2,Vespertino,B,0
193.78,46.29,91.71,2.72,41.32,M1,Nocturno,B,0
188.47,47.21,85.4,1.95,36.27,M2,Vespertino,A,0
210.92,50.99,111.06,2.59,36.1,M1,Vespertino,B,0
214.1,66.4,113.73,3.26,52.99,M2,Vespertino,B,1
193.4,50.57,83.13,2.69,43.51,M3,Matutino,B,0
228.0,53.59,141.93,3.91,39.45,M1,Vespertino,C,1
201.03,54.33,76.43,1.43,40.59,M3,Matutino,C,0
206.16,47.22,81.22,2.44,43.78,M2,Nocturno,A,0
192.9,57.18,100.78,3.09,42.29,M1,Nocturno,C,0
200.94,48.18,78.28,2.32,45.95,M2,Vespertino,B,0
216.52,58.75,101.79,4.51,53.51,M3,Nocturno,C,1
197.83,43.88,110.32,1.86,42.05,M3,Matutino,A,0
183.12,62.45,96.72,2.9,42.13,M1,Vespertino,A,0
212.14,60.91,122.57,3.78,55.88,M3,Nocturno,A,1
178.99,49.63,94.07,2.31,41.69,M2,Nocturno,A,0
207.84,48.86,84.32,3.53,32.02,M1,Vespertino,B,0
215.34,56.28,111.09,3.76,46.46,M3,Nocturno,C,1
199.05,54.28,95.35,1.97,31.6,M2,Nocturno,B,0
201.13,45.05,100.41,2.3,41.72,M2,Vespertino,A,0
205.51,50.75,98.88,2.49,37.94,M2,Nocturno,B,0
195.99,58.59,84.89,2.77,45.56,M1,Nocturno,A,0
180.06,52.94,107.67,3.41,31.11,M3,Nocturno,A,0
205.67,43.64,114.66,1.99,38.92,M3,Vespertino,A,0
187.94,42.42,103.71,2.23,39.73,M1,Vespertino,A,0
194.13,42.85,96.24,3.68,36.64,M2,Nocturno,B,0
190.21,53.13,89.66,2.99,47.68,M2,Vespertino,A,0
203.26,59.47,106.27,2.4,53.58,M3,Vespertino,C,1
191.58,49.64,99.64,3.09,45.24,M3,Matutino,B,0
195.14,52.98,110.97,1.94,38.0,M3,Nocturno,B,0
192.95,57.46,110.16,2.96,37.66,M2,Nocturno,A,0
194.92,51.58,95.61,2.76,41.92,M1,Vespertino,C,0
184.3,58.53,107.22,2.12,37.32,M1,Nocturno,B,0
190.28,42.67,93.07,2.13,50.85,M2,Matutino,B,0
213.15,46.59,133.57,3.43,46.09,M1,Matutino,A,1
192.06,52.97,125.32,4.59,46.98,M2,Vespertino,B,1
177.37,57.12,127.28,2.4,45.74,M2,Vespertino,B,0
175.0,49.42,127.88,2.04,37.51,M3,Nocturno,B,0
203.35,55.26,129.62,4.28,54.21,M3,Nocturno,A,1
196.13,47.31,99.48,2.88,35.22,M2,Nocturno,A,0
195.2,54.06,102.29,1.93,41.25,M2,Vespertino,B,0
183.69,51.35,102.68,2.47,46.0,M1,Nocturno,B,0
205.25,54.88,100.31,2.63,43.63,M2,Nocturno,A,0
205.48,55.84,114.41,4.02,61.49,M1,Vespertino,C,1
198.63,43.85,81.43,2.97,33.96,M3,Vespertino,B,0
188.84,51.93,108.68,1.84,38.09,M1,Nocturno,B,0
200.24,60.99,105.7,1.76,35.84,M1,Matutino,C,0
203.87,50.63,128.6,4.09,53.37,M3,Vespertino,B,1
195.19,46.94,96.3,3.05,45.06,M1,Vespertino,A,0
179.46,58.35,108.09,3.34,43.28,M1,Matutino,A,0
179.81,56.18,86.52,1.42,41.43,M3,Vespertino,B,0
192.26,51.67,98.74,1.56,36.36,M1,Matutino,C,0
214.45,56.0,121.75,4.59,49.69,M3,Nocturno,A,1
185.23,51.54,103.91,2.63,45.91,M1,Nocturno,B,0
189.51,50.35,109.5,2.12,45.7,M1,Matutino,B,0
191.66,47.36,99.11,4.18,41.08,M2,Matutino,A,0
196.57,53.64,115.71,3.69,55.09,M3,Nocturno,C,1
179.65,48.14,117.55,1.69,37.67,M2,Matutino,A,0
183.2,54.88,117.92,2.02,49.8,M3,Vespertino,C,0
187.74,50.73,108.47,2.71,37.26,M1,Matutino,A,0
191.94,52.59,93.8,2.93,38.64,M3,Vespertino,C,0
184.56,46.37,104.8,2.2,40.52,M2,Matutino,A,0
192.35,56.51,90.85,2.55,44.71,M2,Matutino,B,0
189.54,47.08,105.72,2.58,35.37,M1,Nocturno,A,0
196.64,46.64,96.8,2.2,46.84,M3,Matutino,B,0
210.88,54.25,106.19,3.88,53.96,M1,Matutino,C,1
181.29,46.46,89.29,2.58,45.56,M1,Matutino,A,0
220.74,50.16,116.36,3.28,42.26,M1,Vespertino,A,1
197.83,51.25,115.91,4.94,50.03,M3,Nocturno,B,1
185.79,57.55,91.16,2.13,45.47,M2,Matutino,A,0
189.43,49.9,114.99,2.21,36.47,M1,Vespertino,B,0
189.06,50.21,92.35,3.21,44.76,M1,Matutino,A,0
187.11,59.07,94.99,1.71,40.56,M2,Nocturno,A,0
205.79,54.07,128.16,1.0,33.95,M3,Nocturno,B,0
196.3,56.35,90.82,2.11,36.1,M1,Matutino,C,0
190.39,50.32,96.12,2.13,45.04,M2,Nocturno,A,0
215.27,59.47,99.18,2.13,46.21,M1,Matutino,C,0
178.95,41.89,79.46,2.52,39.85,M3,Nocturno,C,0
190.27,51.34,88.01,2.22,37.36,M3,Matutino,B,0
182.58,48.74,96.19,1.85,37.64,M2,Vespertino,B,0
197.41,54.84,115.51,3.97,45.14,M3,Nocturno,C,1
213.04,50.07,127.17,3.65,51.92,M2,Vespertino,C,1
193.46,50.78,95.22,2.28,52.61,M3,Matutino,A,0
191.56,52.3,106.2,2.88,41.29,M1,Vespertino,B,0
195.36,51.02,90.29,2.13,37.54,M1,Matutino,C,0
204.1,56.09,117.39,4.06,44.15,M1,Vespertino,A,1
196.74,51.33,97.06,2.31,38.58,M2,Vespertino,B,0
186.62,56.78,106.53,2.24,34.7,M1,Vespertino,C,0
194.36,49.73,112.48,1.55,35.79,M2,Vespertino,A,0
205.74,55.2,93.76,2.03,32.81,M2,Matutino,A,0
189.32,57.25,80.38,2.56,40.69,M1,Matutino,A,0
190.77,51.33,104.38,2.22,41.48,M3,Vespertino,A,0
197.54,47.07,99.91,3.3,43.44,M1,Matutino,C,0
196.13,44.34,86.61,2.03,48.24,M1,Matutino,A,0
204.6,45.35,104.4,2.56,32.82,M3,Vespertino,A,0
204.27,59.55,97.37,4.1,50.11,M3,Matutino,A,1
190.57,46.84,106.93,1.9,43.34,M1,Nocturno,C,0
183.74,51.29,110.97,2.28,41.0,M2,Matutino,B,0
194.12,52.34,99.65,2.33,43.51,M1,Vespertino,A,0
200.86,51.33,95.67,2.4,38.39,M2,Matutino,A,0
202.54,53.62,142.0,3.83,43.13,M3,Nocturno,B,1
193.66,48.9,119.94,2.31,42.57,M1,Vespertino,C,0
200.36,53.08,87.4,2.06,45.56,M2,Matutino,A,0
208.52,56.1,118.16,3.44,47.82,M1,Nocturno,C,1
197.97,56.03,76.06,1.77,47.96,M2,Matutino,A,0
175.0,53.32,87.33,1.88,44.53,M3,Nocturno,A,0
201.87,54.87,126.2,3.43,59.99,M3,Nocturno,B,1
198.3,41.76,121.81,2.2,45.86,M2,Nocturno,A,0
187.75,60.0,122.03,3.09,38.05,M3,Matutino,B,0
207.01,54.24,92.71,1.46,41.82,M1,Vespertino,B,0
218.03,60.6,120.35,3.28,57.16,M3,Matutino,C,1
193.77,51.79,95.35,2.17,44.22,M1,Nocturno,A,0
189.2,47.13,129.43,3.0,34.4,M1,Matutino,B,0
196.53,50.92,109.38,1.91,35.3,M3,Nocturno,B,0
201.97,46.14,96.52,2.26,31.79,M2,Matutino,B,0
203.66,44.7,111.45,1.38,46.06,M2,Nocturno,A,0
190.45,53.57,120.78,1.23,45.63,M1,Nocturno,A,0
215.11,52.95,121.88,3.38,54.32,M3,Nocturno,B,1
199.5,47.75,101.71,2.42,37.07,M1,Matutino,A,0
181.97,49.02,104.67,1.69,37.46,M3,Vespertino,C,0
198.83,57.75,104.61,2.31,49.03,M1,Matutino,A,0
191.61,48.87,95.3,2.37,46.53,M2,Nocturno,B,0
185.89,51.5,105.96,2.61,43.74,M3,Vespertino,A,0
210.85,61.08,99.32,4.57,48.41,M1,Nocturno,C,1
223.98,62.95,103.79,3.09,42.23,M3,Nocturno,A,1
203.15,52.64,100.47,2.71,45.42,M1,Matutino,C,0
177.9,61.66,100.84,2.46,34.27,M2,Nocturno,A,0
198.75,54.97,75.64,1.82,31.97,M2,Nocturno,C,0
203.2,54.49,110.85,2.78,38.72,M2,Matutino,A,0
203.45,51.11,113.16,2.19,44.46,M3,Vespertino,B,0
185.43,56.01,95.5,2.74,33.48,M2,Matutino,C,0
204.41,58.74,87.14,3.67,52.46,M1,Nocturno,C,1
197.44,51.86,114.72,2.91,44.17,M2,Matutino,A,0
203.79,47.88,103.31,1.74,37.76,M3,Vespertino,C,0
210.56,54.14,106.88,4.71,49.94,M1,Vespertino,C,1
185.73,46.46,104.88,2.61,49.03,M3,Matutino,A,0
190.31,54.32,83.38,1.65,41.19,M1,Vespertino,B,0
189.85,51.28,101.1,2.7,46.77,M1,Nocturno,B,0
181.14,50.77,105.62,2.11,38.32,M1,Matutino,A,0
197.03,54.95,121.28,1.83,39.1,M1,Nocturno,A,0
184.41,45.52,103.08,2.75,38.34,M2,Matutino,B,0
184.0,54.83,112.87,1.87,48.23,M2,Vespertino,A,0
210.09,50.48,108.44,2.3,43.9,M3,Vespertino,A,0
193.96,45.18,89.11,2.65,29.71,M2,Vespertino,A,0
183.33,51.79,112.59,5.39,47.36,M3,Nocturno,A,1
195.81,61.93,99.09,1.0,44.1,M1,Nocturno,B,0
190.0,49.7,110.09,2.16,45.43,M2,Vespertino,A,0
196.52,46.6,99.98,1.97,42.86,M2,Matutino,B,0
213.95,53.27,102.87,3.67,51.07,M3,Vespertino,C,1
175.31,52.52,81.98,2.36,38.77,M2,Nocturno,B,0
184.94,45.24,94.63,3.38,37.65,M3,Vespertino,C,0
193.98,55.61,106.51,1.56,36.31,M1,Nocturno,A,0
188.3,52.58,96.88,2.28,36.55,M2,Nocturno,B,0
175.0,53.1,85.48,2.21,32.36,M2,Vespertino,A,0
213.49,55.58,120.88,4.4,51.87,M2,Vespertino,C,1
196.55,54.12,90.22,1.89,39.4,M1,Matutino,A,0
175.66,51.3,79.82,3.28,45.16,M3,Vespertino,A,0
186.01,48.36,85.88,1.43,36.78,M2,Matutino,A,0
195.59,54.64,108.0,2.18,35.16,M1,Nocturno,B,0
193.33,56.98,86.89,2.51,44.47,M2,Vespertino,A,0
202.34,50.24,72.0,3.13,42.25,M3,Vespertino,A,0
195.34,53.08,76.18,3.06,37.97,M1,Nocturno,B,0
206.68,52.22,88.78,1.45,31.22,M2,Matutino,A,0
187.85,47.27,91.66,3.08,35.81,M1,Matutino,B,0
196.97,51.51,114.9,3.67,41.62,M1,Matutino,A,0
195.08,59.65,121.67,5.21,49.31,M2,Vespertino,B,1
186.19,38.4,96.09,2.45,39.6,M2,Nocturno,B,0
224.11,56.02,140.28,3.35,58.09,M1,Vespertino,A,1
198.63,51.94,78.89,2.55,44.36,M3,Vespertino,A,0
182.06,52.49,102.95,2.43,33.51,M1,Matutino,B,0
197.99,52.4,90.47,2.66,44.14,M1,Vespertino,A,0
190.31,45.59,111.9,3.1,37.12,M2,Vespertino,C,0
221.37,63.58,132.26,3.56,46.57,M2,Nocturno,B,1
205.48,47.71,103.99,1.39,50.1,M3,Nocturno,A,0
199.36,51.73,77.71,1.87,39.31,M1,Nocturno,A,0
183.9,52.94,102.94,3.02,40.72,M2,Matutino,B,0
208.25,58.06,116.03,3.36,48.46,M3,Nocturno,A,1
198.29,48.69,110.99,2.81,38.62,M1,Matutino,B,0
203.83,42.66,83.83,1.51,48.11,M2,Nocturno,C,0
206.25,52.28,108.24,2.88,48.26,M2,Matutino,B,0
175.0,54.99,93.04,2.58,37.65,M2,Vespertino,C,0
197.94,53.52,93.78,1.46,43.77,M1,Matutino,B,0
208.61,57.82,108.32,2.69,50.03,M2,Vespertino,A,0
220.06,51.1,126.53,4.09,56.01,M3,Nocturno,B,1
201.74,58.99,105.19,2.22,50.94,M1,Nocturno,B,0
195.84,59.18,88.98,2.81,42.08,M3,Vespertino,C,0
189.53,45.35,112.27,2.99,45.42,M1,Vespertino,A,0
189.73,54.76,99.35,3.26,43.73,M2,Vespertino,A,0
199.0,56.67,92.4,2.41,39.34,M3,Nocturno,A,0
200.58,51.41,104.0,3.35,45.37,M3,Vespertino,B,0
215.8,54.35,120.76,3.52,50.15,M3,Vespertino,B,1
187.08,59.85,79.62,2.45,35.37,M1,Vespertino,C,0
219.45,54.26,107.42,3.78,50.24,M3,Nocturno,B,1
182.64,57.7,81.76,1.86,46.07,M2,Vespertino,C,0
201.96,44.8,91.07,2.24,44.69,M3,Vespertino,A,0
215.08,54.2,133.75,3.18,46.93,M3,Vespertino,B,1
206.68,53.08,94.94,1.93,47.3,M2,Vespertino,B,0
196.27,44.05,88.54,2.36,43.64,M3,Nocturno,B,0
183.58,56.84,107.1,2.08,43.69,M1,Matutino,B,0
200.79,57.64,111.69,2.22,45.73,M1,Nocturno,B,0
178.32,50.65,130.15,1.95,38.88,M1,Vespertino,A,0
203.13,59.85,117.38,3.23,47.35,M2,Nocturno,C,1
217.27,55.58,99.99,4.26,51.16,M3,Matutino,C,1
201.77,54.91,101.03,1.96,44.03,M3,Nocturno,B,0
207.52,51.31,109.31,3.24,46.9,M3,Nocturno,C,1
189.51,49.12,107.73,3.1,45.66,M1,Nocturno,B,0
189.46,52.36,117.63,2.16,40.03,M2,Matutino,A,0
184.63,51.47,100.14,2.52,43.47,M3,Vespertino,C,0
200.63,54.09,118.11,1.68,53.02,M1,Nocturno,B,0
207.5,58.47,121.72,3.85,42.64,M2,Vespertino,B,1
199.71,50.72,100.99,1.71,38.37,M2,Matutino,B,0
184.39,48.1,91.47,3.11,43.31,M1,Vespertino,A,0
200.91,48.36,103.12,3.23,43.42,M3,Vespertino,A,0
184.06,52.57,80.49,2.86,38.97,M3,Vespertino,C,0
184.16,47.72,100.5,2.18,42.46,M1,Matutino,C,0
196.93,50.3,92.0,2.53,42.17,M3,Vespertino,A,0
198.85,57.37,83.01,4.08,46.4,M1,Nocturno,B,0
218.63,56.41,139.31,4.52,42.18,M3,Nocturno,C,1
190.99,46.23,119.37,2.58,36.2,M2,Vespertino,A,0
194.14,51.76,84.97,2.31,36.38,M2,Vespertino,C,0
180.05,47.82,84.97,2.23,49.39,M1,Nocturno,B,0
200.01,49.28,119.01,1.8,43.33,M1,Matutino,C,0
197.03,54.8,99.43,2.26,41.87,M1,Matutino,B,0
198.92,49.89,88.36,2.41,48.21,M1,Vespertino,C,0
203.81,59.77,135.15,4.06,43.26,M1,Matutino,C,1
208.23,44.53,110.03,2.74,38.29,M2,Nocturno,C,0
193.37,41.72,107.56,2.22,42.51,M2,Nocturno,A,0
201.99,54.31,80.5,1.2,43.16,M3,Matutino,A,0
204.55,52.12,114.98,3.97,47.01,M2,Nocturno,C,1
190.97,51.51,106.22,2.43,38.45,M1,Matutino,B,0
191.22,52.32,121.12,1.86,44.1,M3,Vespertino,C,0
180.92,49.61,97.03,2.58,49.13,M1,Vespertino,A,0
216.17,56.51,88.9,3.04,46.45,M3,Matutino,B,0
196.79,50.32,99.81,2.35,47.43,M1,Nocturno,B,0
181.83,49.9,92.22,2.39,46.54,M1,Vespertino,A,0
196.25,48.99,102.91,2.57,43.26,M1,Nocturno,C,0
175.49,49.32,106.79,2.47,36.99,M2,Nocturno,C,0
197.72,50.86,110.74,2.29,33.17,M1,Vespertino,B,0
215.74,58.4,96.72,4.08,55.16,M3,Vespertino,C,1
195.19,38.78,98.08,2.68,41.26,M1,Vespertino,A,0
