ds,y,marketing_spend,evento_especial
2025-03-31,264,82.41,0
2025-04-01,294,109.03,0
2025-04-02,268,76.55,0
2025-04-03,261,76.86,0
2025-04-04,284,84.26,0
2025-04-05,230,82.04,0
2025-04-06,224,75.21,0
2025-04-07,282,79.19,0
2025-04-08,269,85.00,0
2025-04-09,271,79.52,0
2025-04-10,270,75.13,0
2025-04-11,263,81.73,0
2025-04-12,237,84.43,0
2025-04-13,228,77.13,0
2025-04-14,268,76.31,0
2025-04-15,343,83.82,1
2025-04-16,327,82.70,1
2025-04-17,267,75.48,0
2025-04-18,276,78.46,0
2025-04-19,221,84.92,0
2025-04-20,230,80.27,0
2025-04-21,274,75.01,0
2025-04-22,270,81.02,0
2025-04-23,289,84.72,0
2025-04-24,273,77.77,0
2025-04-25,267,75.85,0
2025-04-26,237,83.30,0
2025-04-27,221,83.30,0
2025-04-28,269,75.85,0
2025-04-29,277,77.77,0
2025-04-30,272,84.73,0
2025-05-01,303,106.01,0
2025-05-02,275,75.01,0
2025-05-03,225,80.27,0
2025-05-04,240,84.92,0
2025-05-05,266,78.46,0
2025-05-06,265,75.48,0
2025-05-07,282,82.71,0
2025-05-08,271,83.82,0
2025-05-09,278,76.31,0
2025-05-10,236,77.13,0
2025-05-11,229,84.43,0
2025-05-12,284,81.73,0
2025-05-13,268,75.12,0
2025-05-14,267,79.53,0
2025-05-15,284,85.00,0
2025-05-16,268,79.18,0
2025-05-17,229,75.21,0
2025-05-18,242,82.05,0
2025-05-19,275,84.26,0
2025-05-20,281,76.85,0
2025-05-21,275,76.55,0
2025-05-22,270,84.03,0
2025-05-23,282,82.41,0
2025-05-24,221,75.34,0
2025-05-25,227,78.79,0
2025-05-26,290,84.97,0
2025-05-27,273,79.93,0
2025-05-28,279,75.05,0
2025-05-29,283,81.35,0
2025-05-30,326,84.60,1
2025-05-31,307,102.47,1
2025-06-01,225,76.05,0
2025-06-02,272,83.55,0
2025-06-03,288,83.03,0
2025-06-04,272,75.67,0
2025-06-05,279,78.08,0
2025-06-06,290,84.83,0
2025-06-07,225,80.67,0
2025-06-08,231,75.00,0
2025-06-09,276,80.61,0
2025-06-10,271,84.84,0
2025-06-11,283,78.14,0
2025-06-12,274,75.64,0
2025-06-13,280,82.99,0
2025-06-14,247,83.59,0
2025-06-15,225,76.09,0
2025-06-16,277,77.42,0
2025-06-17,283,84.58,0
2025-06-18,268,81.41,0
2025-06-19,278,75.06,0
2025-06-20,279,79.87,0
2025-06-21,234,84.97,0
2025-06-22,245,78.85,0
2025-06-23,274,75.32,0
2025-06-24,280,82.35,0
2025-06-25,287,84.07,0
2025-06-26,265,76.60,0
2025-06-27,277,76.81,0
2025-06-28,239,84.23,0
2025-06-29,230,82.10,0
2025-06-30,305,100.23,0
2025-07-01,281,79.12,0
2025-07-02,282,84.99,0
2025-07-03,287,79.59,0
2025-07-04,267,75.11,0
2025-07-05,233,81.67,0
2025-07-06,241,84.46,0
2025-07-07,269,77.18,0
2025-07-08,285,76.27,0
2025-07-09,288,83.78,0
2025-07-10,279,82.76,0
2025-07-11,286,75.51,0
2025-07-12,229,78.40,0
2025-07-13,233,84.90,0
2025-07-14,339,80.34,1
2025-07-15,322,75.01,1
2025-07-16,285,80.95,0
2025-07-17,291,84.75,0
2025-07-18,276,77.83,0
2025-07-19,242,75.81,0
2025-07-20,237,83.25,0
2025-07-21,276,83.35,0
2025-07-22,282,75.89,0
2025-07-23,270,77.71,0
2025-07-24,284,84.70,0
2025-07-25,290,81.08,0
2025-07-26,228,75.02,0
2025-07-27,245,80.21,0
2025-07-28,289,84.93,0
2025-07-29,273,78.52,0
2025-07-30,302,100.45,0
2025-07-31,276,82.65,0
2025-08-01,279,83.86,0
2025-08-02,242,76.36,0
2025-08-03,230,77.08,0
2025-08-04,292,84.40,0
2025-08-05,291,81.79,0
2025-08-06,272,75.14,0
2025-08-07,287,79.46,0
2025-08-08,282,85.00,0
2025-08-09,228,79.25,0
2025-08-10,240,75.19,0
2025-08-11,280,81.99,0
2025-08-12,289,84.29,0
2025-08-13,291,76.91,0
2025-08-14,275,76.50,0
2025-08-15,290,84.00,0
2025-08-16,239,82.47,0
2025-08-17,224,75.37,0
2025-08-18,287,78.73,0
2025-08-19,284,84.96,0
2025-08-20,282,80.00,0
2025-08-21,291,75.04,0
2025-08-22,281,81.28,0
2025-08-23,245,84.63,0
2025-08-24,240,77.53,0
2025-08-25,269,76.01,0
2025-08-26,289,83.50,0
2025-08-27,284,83.09,0
2025-08-28,330,75.70,1
2025-08-29,367,103.02,1
2025-08-30,242,84.81,0
2025-08-31,241,80.74,0
2025-09-01,288,75.00,0
2025-09-02,275,80.55,0
2025-09-03,288,84.86,0
2025-09-04,283,78.20,0
2025-09-05,273,75.61,0
2025-09-06,251,82.93,0
2025-09-07,244,83.64,0
2025-09-08,282,76.13,0
2025-09-09,293,77.36,0
2025-09-10,281,84.55,0
2025-09-11,284,81.47,0
2025-09-12,283,75.07,0
2025-09-13,229,79.80,0
2025-09-14,249,84.98,0
2025-09-15,288,78.92,0
2025-09-16,280,75.30,0
2025-09-17,299,82.30,0
2025-09-18,286,84.11,0
2025-09-19,279,76.65,0
2025-09-20,242,76.76,0
2025-09-21,233,84.19,0
2025-09-22,289,82.16,0
2025-09-23,287,75.25,0
2025-09-24,281,79.06,0
2025-09-25,301,84.99,0
2025-09-26,287,79.65,0
2025-09-27,233,75.10,0

